Geneid,Ctr_s1,Ctr_s2,Ctr_s7,Ctr_s13,RS_s6,RS_s9,RS_s12,RS_s16
ENSG00000284662,0,0,0,0,0,0,0,0
ENSG00000186827,0,0,1,1,4,0,0,3
ENSG00000186891,1,0,0,0,0,2,2,2
ENSG00000160072,361,427,416,549,328,174,246,202
ENSG00000041988,118,156,124,133,101,56,85,89
ENSG00000260179,2,0,1,2,0,1,0,0
ENSG00000234396,0,0,0,0,0,0,0,0
ENSG00000225972,6,2,3,4,8,1,3,5
ENSG00000224315,0,0,0,0,1,0,0,0
ENSG00000198744,1,494,6,4,624,0,4,3
ENSG00000279928,0,0,0,0,0,0,0,0
ENSG00000228037,0,0,0,0,0,1,1,0
ENSG00000142611,73,24,54,14,5,11,17,1
ENSG00000225630,567,948,770,991,1723,358,731,1460
ENSG00000067606,23,32,28,17,34,9,24,31
ENSG00000131584,720,886,884,1015,529,451,817,722
ENSG00000227589,1,0,0,0,0,0,0,0
ENSG00000237402,0,0,0,0,0,0,0,0
ENSG00000284616,0,0,0,0,0,0,0,0
ENSG00000169972,131,174,163,200,115,81,140,115
ENSG00000157911,189,174,213,250,183,100,169,102
ENSG00000269896,10,5,5,14,7,9,13,8
ENSG00000237973,119,134,97,159,122,44,98,53
ENSG00000224051,291,344,407,394,307,220,308,278
ENSG00000228750,0,0,0,0,0,0,0,0
ENSG00000228463,0,0,2,0,1,0,0,1
ENSG00000238260,5,1,2,2,4,5,3,2
ENSG00000260972,0,0,0,0,0,0,0,0
ENSG00000157933,1898,2436,2700,2626,1548,1435,2280,1772
ENSG00000162591,2290,967,1707,3138,998,4568,5318,5195
ENSG00000224340,0,0,0,1,0,0,0,0
ENSG00000270035,0,0,0,0,0,0,0,0
ENSG00000169962,9,8,8,10,3,9,3,4
ENSG00000226545,0,0,0,0,0,0,0,0
ENSG00000233653,0,0,0,0,0,0,0,0
ENSG00000268663,0,0,0,0,0,0,0,0
ENSG00000226374,0,0,0,0,0,0,0,0
ENSG00000116285,2237,988,1384,849,378,802,834,505
ENSG00000229280,0,0,0,0,0,0,0,0
ENSG00000142655,224,364,346,302,332,210,269,252
ENSG00000232596,0,0,0,0,0,0,0,0
ENSG00000235054,0,0,0,0,0,0,0,0
ENSG00000232663,0,0,0,0,0,0,0,0
ENSG00000284646,0,0,0,0,0,0,0,0
ENSG00000240409,0,0,0,0,0,0,0,0
ENSG00000229344,6,4,7,5,4,4,4,6
ENSG00000231510,0,0,0,0,0,0,0,0
ENSG00000149527,6,4,3,4,1,3,5,5
ENSG00000284739,0,0,0,0,0,0,0,0
ENSG00000007923,563,754,672,729,566,363,566,530
ENSG00000171621,533,815,630,660,1174,359,605,568
ENSG00000272235,6,7,5,0,1,2,8,2
ENSG00000236679,0,0,0,0,0,0,0,0
ENSG00000284694,0,0,0,1,0,0,0,0
ENSG00000162441,560,595,698,536,499,277,435,390
ENSG00000230021,0,1,3,0,4,1,0,0
ENSG00000271264,0,0,1,0,0,0,0,0
ENSG00000287356,9,10,2,11,7,5,10,13
ENSG00000224387,0,0,0,0,1,0,0,0
ENSG00000187017,0,1,0,0,1,0,0,2
ENSG00000285629,0,0,0,0,0,0,0,0
ENSG00000173673,0,0,0,0,0,0,0,0
ENSG00000227372,277,210,319,357,285,206,273,153
ENSG00000142583,32,13,21,1,26,168,112,9
ENSG00000223663,0,0,1,1,0,0,0,0
ENSG00000107404,1635,1429,1867,1588,1043,841,1295,987
ENSG00000284674,0,0,0,0,0,0,0,0
ENSG00000177000,201,222,219,296,274,159,219,160
ENSG00000272161,0,0,0,0,0,0,0,0
ENSG00000237094,3,1,1,1,3,0,1,2
ENSG00000069424,139,269,120,159,395,178,236,330
ENSG00000224338,0,0,0,0,0,0,0,0
ENSG00000074800,20138,20401,22928,18178,12691,13264,16742,10627
ENSG00000234546,10,9,11,9,16,5,10,10
ENSG00000116786,978,1459,1175,1340,1733,797,1330,1113
ENSG00000287727,0,1,0,0,0,1,0,1
ENSG00000176022,392,553,447,555,322,280,447,377
ENSG00000223989,0,0,0,0,0,0,0,0
ENSG00000228423,0,0,0,0,0,0,0,0
ENSG00000286448,0,0,0,0,1,0,0,0
ENSG00000162496,1603,1627,1951,1291,2768,1125,1801,1454
ENSG00000237365,0,0,0,0,0,0,0,0
ENSG00000131686,0,0,0,0,0,0,1,0
ENSG00000229305,0,0,0,0,0,0,0,0
ENSG00000284703,0,0,0,0,1,0,0,0
ENSG00000226457,0,0,0,0,0,0,2,0
ENSG00000162494,0,3,2,10,308,0,3,1
ENSG00000173614,147,242,179,167,165,106,171,156
ENSG00000248527,5301,7785,6220,6464,6889,1620,4403,4641
ENSG00000237728,0,0,0,0,0,0,0,0
ENSG00000215720,0,0,0,0,0,0,0,0
ENSG00000279804,0,0,0,0,0,0,0,0
ENSG00000116273,322,360,552,420,332,237,355,252
ENSG00000241326,0,0,0,0,0,0,0,0
ENSG00000285701,0,0,0,0,0,0,0,0
ENSG00000233623,0,0,0,0,0,0,0,0
ENSG00000162592,0,1,0,0,0,0,0,0
ENSG00000116254,3,10,6,2,17,12,23,49
ENSG00000049245,2143,3842,2520,2806,3192,1641,2781,2456
ENSG00000179743,13,17,27,20,13,6,15,11
ENSG00000233645,0,0,0,0,0,0,0,0
ENSG00000234064,0,0,0,0,0,0,0,0
ENSG00000204624,1,0,1,0,0,0,0,0
ENSG00000284708,0,0,0,0,0,0,0,0
ENSG00000171603,4019,6405,4966,5315,4549,4347,6205,5302
ENSG00000280113,1,0,0,0,0,0,0,0
ENSG00000142606,0,0,0,0,0,0,0,0
ENSG00000235146,0,0,0,0,0,0,0,0
ENSG00000177674,280,481,454,496,642,256,605,422
ENSG00000162572,29,32,33,23,28,44,46,19
ENSG00000171608,121,433,145,192,324,92,151,309
ENSG00000225931,0,0,0,3,2,0,0,0
ENSG00000236601,0,0,0,0,0,0,0,0
ENSG00000171729,40,38,97,22,77,41,81,35
ENSG00000228150,3,3,5,5,0,2,2,1
ENSG00000175262,0,0,0,0,0,0,0,0
ENSG00000279457,6,7,8,7,6,0,10,9
ENSG00000162571,0,0,0,0,0,0,0,0
ENSG00000231181,1,1,1,1,0,1,0,0
ENSG00000238173,0,0,0,0,0,0,0,0
ENSG00000158109,847,1791,810,1215,1799,804,1347,1299
ENSG00000229393,0,0,0,0,0,0,0,0
ENSG00000269978,0,0,0,0,0,0,0,0
ENSG00000037637,297,339,289,345,270,277,347,285
ENSG00000184163,6,18,8,7,4,3,4,4
ENSG00000287586,0,0,0,0,0,0,0,0
ENSG00000159423,241,229,229,286,176,124,196,188
ENSG00000142599,1394,2196,2399,1965,1815,1065,2328,1433
ENSG00000227169,0,0,0,0,0,0,0,0
